,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.6666666666666667
1,0,0,0,0,0,1,1.5
2,0,0,0,0,1,0,1.6666666666666667
3,0,0,0,0,1,1,1.6666666666666667
4,0,0,0,1,0,0,1.5
5,0,0,0,1,0,1,1.5
6,0,0,0,1,1,0,1.1666666666666667
7,0,0,0,1,1,1,1.3333333333333333
8,0,1,0,0,0,0,1.0
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.0
11,0,1,0,0,1,1,1.1666666666666667
12,0,1,0,1,0,0,1.0
13,0,1,0,1,0,1,1.0
14,0,1,0,1,1,0,1.0
15,0,1,0,1,1,1,1.1666666666666667
16,1,0,0,0,0,0,1.6666666666666667
17,1,0,0,0,0,1,1.5
18,1,0,0,0,1,0,1.3333333333333333
19,1,0,0,0,1,1,1.5
20,1,0,0,1,0,0,1.5
21,1,0,0,1,0,1,1.3333333333333333
22,1,0,0,1,1,0,1.3333333333333333
23,1,0,0,1,1,1,1.3333333333333333
24,1,0,1,0,0,0,1.6666666666666667
25,1,0,1,0,0,1,1.5
26,1,0,1,0,1,0,1.5
27,1,0,1,0,1,1,1.5
28,1,0,1,1,0,0,1.6666666666666667
29,1,0,1,1,0,1,1.5
30,1,0,1,1,1,0,1.1666666666666667
31,1,0,1,1,1,1,1.3333333333333333
32,1,0,2,0,0,0,1.6666666666666667
33,1,0,2,0,0,1,1.5
34,1,0,2,0,1,0,1.5
35,1,0,2,0,1,1,1.5
36,1,0,2,1,0,0,1.5
37,1,0,2,1,0,1,1.5
38,1,0,2,1,1,0,1.5
39,1,0,2,1,1,1,1.1666666666666667
40,1,0,3,0,0,0,1.6666666666666667
41,1,0,3,0,0,1,1.6666666666666667
42,1,0,3,0,1,0,1.6666666666666667
43,1,0,3,0,1,1,1.6666666666666667
44,1,0,3,1,0,0,1.6666666666666667
45,1,0,3,1,0,1,1.6666666666666667
46,1,0,3,1,1,0,1.6666666666666667
47,1,0,3,1,1,1,1.3333333333333333
48,1,0,4,0,0,0,1.0
49,1,0,4,0,0,1,1.3333333333333333
50,1,0,4,0,1,0,1.1666666666666667
51,1,0,4,0,1,1,1.3333333333333333
52,1,0,4,1,0,0,1.3333333333333333
53,1,0,4,1,0,1,1.3333333333333333
54,1,0,4,1,1,0,1.0
55,1,0,4,1,1,1,1.1666666666666667
56,1,1,0,0,0,0,1.0
57,1,1,0,0,0,1,1.0
58,1,1,0,0,1,0,1.0
59,1,1,0,0,1,1,1.0
60,1,1,0,1,0,0,1.1666666666666667
61,1,1,0,1,0,1,1.0
62,1,1,0,1,1,0,1.1666666666666667
63,1,1,0,1,1,1,1.0
64,1,1,1,0,0,0,1.0
65,1,1,1,0,0,1,1.0
66,1,1,1,0,1,0,1.0
67,1,1,1,0,1,1,1.0
68,1,1,1,1,0,0,1.1666666666666667
69,1,1,1,1,0,1,1.0
70,1,1,1,1,1,0,1.1666666666666667
71,1,1,1,1,1,1,1.0
72,1,1,2,0,0,0,1.0
73,1,1,2,0,0,1,1.0
74,1,1,2,0,1,0,1.0
75,1,1,2,0,1,1,1.0
76,1,1,2,1,0,0,1.1666666666666667
77,1,1,2,1,0,1,1.1666666666666667
78,1,1,2,1,1,0,1.0
79,1,1,2,1,1,1,1.0
80,1,1,3,0,0,0,1.0
81,1,1,3,0,0,1,1.0
82,1,1,3,0,1,0,1.0
83,1,1,3,0,1,1,1.0
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.1666666666666667
86,1,1,3,1,1,0,1.0
87,1,1,3,1,1,1,1.0
88,1,1,4,0,0,0,1.0
89,1,1,4,0,0,1,1.0
90,1,1,4,0,1,0,1.0
91,1,1,4,0,1,1,1.0
92,1,1,4,1,0,0,1.0
93,1,1,4,1,0,1,1.0
94,1,1,4,1,1,0,1.0
95,1,1,4,1,1,1,1.0
