,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,2.1666666666666665
1,0,0,0,0,0,1,2.5
2,0,0,0,0,1,0,1.5
3,0,0,0,0,1,1,2.0
4,0,0,0,1,0,0,2.3333333333333335
5,0,0,0,1,0,1,2.6666666666666665
6,0,0,0,1,1,0,2.3333333333333335
7,0,0,0,1,1,1,2.6666666666666665
8,0,1,0,0,0,0,1.1666666666666667
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.1666666666666667
11,0,1,0,0,1,1,1.3333333333333333
12,0,1,0,1,0,0,1.0
13,0,1,0,1,0,1,1.5
14,0,1,0,1,1,0,1.1666666666666667
15,0,1,0,1,1,1,1.3333333333333333
16,1,0,0,0,0,0,3.0
17,1,0,0,0,0,1,3.0
18,1,0,0,0,1,0,2.6666666666666665
19,1,0,0,0,1,1,3.0
20,1,0,0,1,0,0,2.6666666666666665
21,1,0,0,1,0,1,2.6666666666666665
22,1,0,0,1,1,0,2.0
23,1,0,0,1,1,1,3.0
24,1,0,1,0,0,0,2.0
25,1,0,1,0,0,1,2.6666666666666665
26,1,0,1,0,1,0,1.6666666666666667
27,1,0,1,0,1,1,2.0
28,1,0,1,1,0,0,2.0
29,1,0,1,1,0,1,2.6666666666666665
30,1,0,1,1,1,0,1.6666666666666667
31,1,0,1,1,1,1,2.6666666666666665
32,1,0,2,0,0,0,2.0
33,1,0,2,0,0,1,3.0
34,1,0,2,0,1,0,1.6666666666666667
35,1,0,2,0,1,1,2.0
36,1,0,2,1,0,0,2.0
37,1,0,2,1,0,1,2.6666666666666665
38,1,0,2,1,1,0,1.6666666666666667
39,1,0,2,1,1,1,2.6666666666666665
40,1,0,3,0,0,0,1.5
41,1,0,3,0,0,1,2.0
42,1,0,3,0,1,0,1.3333333333333333
43,1,0,3,0,1,1,1.5
44,1,0,3,1,0,0,1.8333333333333333
45,1,0,3,1,0,1,2.6666666666666665
46,1,0,3,1,1,0,1.5
47,1,0,3,1,1,1,2.3333333333333335
48,1,0,4,0,0,0,1.5
49,1,0,4,0,0,1,1.6666666666666667
50,1,0,4,0,1,0,1.8333333333333333
51,1,0,4,0,1,1,1.3333333333333333
52,1,0,4,1,0,0,1.5
53,1,0,4,1,0,1,2.3333333333333335
54,1,0,4,1,1,0,1.5
55,1,0,4,1,1,1,2.1666666666666665
56,1,1,0,0,0,0,1.1666666666666667
57,1,1,0,0,0,1,1.1666666666666667
58,1,1,0,0,1,0,1.1666666666666667
59,1,1,0,0,1,1,1.1666666666666667
60,1,1,0,1,0,0,1.0
61,1,1,0,1,0,1,1.1666666666666667
62,1,1,0,1,1,0,1.5
63,1,1,0,1,1,1,1.1666666666666667
64,1,1,1,0,0,0,1.1666666666666667
65,1,1,1,0,0,1,1.1666666666666667
66,1,1,1,0,1,0,1.1666666666666667
67,1,1,1,0,1,1,1.1666666666666667
68,1,1,1,1,0,0,1.0
69,1,1,1,1,0,1,1.0
70,1,1,1,1,1,0,1.1666666666666667
71,1,1,1,1,1,1,1.0
72,1,1,2,0,0,0,1.1666666666666667
73,1,1,2,0,0,1,1.1666666666666667
74,1,1,2,0,1,0,1.1666666666666667
75,1,1,2,0,1,1,1.1666666666666667
76,1,1,2,1,0,0,1.0
77,1,1,2,1,0,1,1.0
78,1,1,2,1,1,0,1.1666666666666667
79,1,1,2,1,1,1,1.0
80,1,1,3,0,0,0,1.3333333333333333
81,1,1,3,0,0,1,1.3333333333333333
82,1,1,3,0,1,0,1.3333333333333333
83,1,1,3,0,1,1,1.3333333333333333
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.3333333333333333
86,1,1,3,1,1,0,1.3333333333333333
87,1,1,3,1,1,1,1.3333333333333333
88,1,1,4,0,0,0,1.1666666666666667
89,1,1,4,0,0,1,1.3333333333333333
90,1,1,4,0,1,0,1.3333333333333333
91,1,1,4,0,1,1,1.3333333333333333
92,1,1,4,1,0,0,1.1666666666666667
93,1,1,4,1,0,1,1.5
94,1,1,4,1,1,0,1.1666666666666667
95,1,1,4,1,1,1,1.5
