,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.1666666666666667
1,0,0,0,0,0,1,1.1666666666666667
2,0,0,0,0,1,0,1.3333333333333333
3,0,0,0,0,1,1,1.1666666666666667
4,0,0,0,1,0,0,1.6666666666666667
5,0,0,0,1,0,1,1.6666666666666667
6,0,0,0,1,1,0,1.6666666666666667
7,0,0,0,1,1,1,1.6666666666666667
8,0,1,0,0,0,0,1.0
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.3333333333333333
11,0,1,0,0,1,1,1.3333333333333333
12,0,1,0,1,0,0,1.1666666666666667
13,0,1,0,1,0,1,1.5
14,0,1,0,1,1,0,1.5
15,0,1,0,1,1,1,1.6666666666666667
16,1,0,0,0,0,0,2.0
17,1,0,0,0,0,1,2.5
18,1,0,0,0,1,0,1.1666666666666667
19,1,0,0,0,1,1,1.8333333333333333
20,1,0,0,1,0,0,2.0
21,1,0,0,1,0,1,2.0
22,1,0,0,1,1,0,1.3333333333333333
23,1,0,0,1,1,1,2.0
24,1,0,1,0,0,0,1.1666666666666667
25,1,0,1,0,0,1,1.5
26,1,0,1,0,1,0,1.1666666666666667
27,1,0,1,0,1,1,1.3333333333333333
28,1,0,1,1,0,0,1.8333333333333333
29,1,0,1,1,0,1,1.6666666666666667
30,1,0,1,1,1,0,1.6666666666666667
31,1,0,1,1,1,1,1.8333333333333333
32,1,0,2,0,0,0,2.0
33,1,0,2,0,0,1,1.8333333333333333
34,1,0,2,0,1,0,1.1666666666666667
35,1,0,2,0,1,1,1.3333333333333333
36,1,0,2,1,0,0,1.5
37,1,0,2,1,0,1,1.8333333333333333
38,1,0,2,1,1,0,1.6666666666666667
39,1,0,2,1,1,1,1.8333333333333333
40,1,0,3,0,0,0,1.1666666666666667
41,1,0,3,0,0,1,1.5
42,1,0,3,0,1,0,1.1666666666666667
43,1,0,3,0,1,1,1.1666666666666667
44,1,0,3,1,0,0,1.8333333333333333
45,1,0,3,1,0,1,1.8333333333333333
46,1,0,3,1,1,0,1.8333333333333333
47,1,0,3,1,1,1,1.6666666666666667
48,1,0,4,0,0,0,1.3333333333333333
49,1,0,4,0,0,1,1.1666666666666667
50,1,0,4,0,1,0,1.0
51,1,0,4,0,1,1,1.1666666666666667
52,1,0,4,1,0,0,1.8333333333333333
53,1,0,4,1,0,1,1.6666666666666667
54,1,0,4,1,1,0,1.8333333333333333
55,1,0,4,1,1,1,1.8333333333333333
56,1,1,0,0,0,0,1.1666666666666667
57,1,1,0,0,0,1,1.1666666666666667
58,1,1,0,0,1,0,1.1666666666666667
59,1,1,0,0,1,1,1.1666666666666667
60,1,1,0,1,0,0,1.0
61,1,1,0,1,0,1,1.6666666666666667
62,1,1,0,1,1,0,1.1666666666666667
63,1,1,0,1,1,1,1.5
64,1,1,1,0,0,0,1.0
65,1,1,1,0,0,1,1.1666666666666667
66,1,1,1,0,1,0,1.0
67,1,1,1,0,1,1,1.0
68,1,1,1,1,0,0,1.0
69,1,1,1,1,0,1,1.3333333333333333
70,1,1,1,1,1,0,1.0
71,1,1,1,1,1,1,1.5
72,1,1,2,0,0,0,1.0
73,1,1,2,0,0,1,1.1666666666666667
74,1,1,2,0,1,0,1.0
75,1,1,2,0,1,1,1.0
76,1,1,2,1,0,0,1.1666666666666667
77,1,1,2,1,0,1,1.5
78,1,1,2,1,1,0,1.3333333333333333
79,1,1,2,1,1,1,1.5
80,1,1,3,0,0,0,1.1666666666666667
81,1,1,3,0,0,1,1.5
82,1,1,3,0,1,0,1.1666666666666667
83,1,1,3,0,1,1,1.3333333333333333
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.5
86,1,1,3,1,1,0,1.1666666666666667
87,1,1,3,1,1,1,1.5
88,1,1,4,0,0,0,1.1666666666666667
89,1,1,4,0,0,1,1.3333333333333333
90,1,1,4,0,1,0,1.1666666666666667
91,1,1,4,0,1,1,1.1666666666666667
92,1,1,4,1,0,0,1.3333333333333333
93,1,1,4,1,0,1,1.5
94,1,1,4,1,1,0,1.3333333333333333
95,1,1,4,1,1,1,1.5
