,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.8333333333333333
1,0,0,0,0,0,1,1.8333333333333333
2,0,0,0,0,1,0,1.6666666666666667
3,0,0,0,0,1,1,1.8333333333333333
4,0,0,0,1,0,0,2.3333333333333335
5,0,0,0,1,0,1,2.6666666666666665
6,0,0,0,1,1,0,1.5
7,0,0,0,1,1,1,1.8333333333333333
8,0,1,0,0,0,0,1.1666666666666667
9,0,1,0,0,0,1,1.1666666666666667
10,0,1,0,0,1,0,1.0
11,0,1,0,0,1,1,1.1666666666666667
12,0,1,0,1,0,0,1.8333333333333333
13,0,1,0,1,0,1,1.6666666666666667
14,0,1,0,1,1,0,1.8333333333333333
15,0,1,0,1,1,1,1.8333333333333333
16,1,0,0,0,0,0,2.1666666666666665
17,1,0,0,0,0,1,2.5
18,1,0,0,0,1,0,1.8333333333333333
19,1,0,0,0,1,1,2.0
20,1,0,0,1,0,0,2.6666666666666665
21,1,0,0,1,0,1,2.6666666666666665
22,1,0,0,1,1,0,2.6666666666666665
23,1,0,0,1,1,1,2.6666666666666665
24,1,0,1,0,0,0,1.8333333333333333
25,1,0,1,0,0,1,1.8333333333333333
26,1,0,1,0,1,0,1.5
27,1,0,1,0,1,1,1.6666666666666667
28,1,0,1,1,0,0,2.5
29,1,0,1,1,0,1,2.6666666666666665
30,1,0,1,1,1,0,2.1666666666666665
31,1,0,1,1,1,1,2.5
32,1,0,2,0,0,0,1.8333333333333333
33,1,0,2,0,0,1,1.8333333333333333
34,1,0,2,0,1,0,1.8333333333333333
35,1,0,2,0,1,1,1.8333333333333333
36,1,0,2,1,0,0,2.5
37,1,0,2,1,0,1,2.6666666666666665
38,1,0,2,1,1,0,2.5
39,1,0,2,1,1,1,2.5
40,1,0,3,0,0,0,1.8333333333333333
41,1,0,3,0,0,1,1.8333333333333333
42,1,0,3,0,1,0,1.3333333333333333
43,1,0,3,0,1,1,1.6666666666666667
44,1,0,3,1,0,0,2.3333333333333335
45,1,0,3,1,0,1,2.3333333333333335
46,1,0,3,1,1,0,2.0
47,1,0,3,1,1,1,2.3333333333333335
48,1,0,4,0,0,0,1.6666666666666667
49,1,0,4,0,0,1,1.8333333333333333
50,1,0,4,0,1,0,1.6666666666666667
51,1,0,4,0,1,1,1.5
52,1,0,4,1,0,0,2.0
53,1,0,4,1,0,1,2.5
54,1,0,4,1,1,0,2.0
55,1,0,4,1,1,1,2.0
56,1,1,0,0,0,0,1.1666666666666667
57,1,1,0,0,0,1,1.0
58,1,1,0,0,1,0,1.0
59,1,1,0,0,1,1,1.0
60,1,1,0,1,0,0,1.8333333333333333
61,1,1,0,1,0,1,2.0
62,1,1,0,1,1,0,1.8333333333333333
63,1,1,0,1,1,1,2.0
64,1,1,1,0,0,0,1.0
65,1,1,1,0,0,1,1.0
66,1,1,1,0,1,0,1.0
67,1,1,1,0,1,1,1.0
68,1,1,1,1,0,0,1.6666666666666667
69,1,1,1,1,0,1,1.8333333333333333
70,1,1,1,1,1,0,1.3333333333333333
71,1,1,1,1,1,1,1.8333333333333333
72,1,1,2,0,0,0,1.0
73,1,1,2,0,0,1,1.0
74,1,1,2,0,1,0,1.0
75,1,1,2,0,1,1,1.0
76,1,1,2,1,0,0,1.1666666666666667
77,1,1,2,1,0,1,2.0
78,1,1,2,1,1,0,1.3333333333333333
79,1,1,2,1,1,1,1.8333333333333333
80,1,1,3,0,0,0,1.1666666666666667
81,1,1,3,0,0,1,1.1666666666666667
82,1,1,3,0,1,0,1.0
83,1,1,3,0,1,1,1.1666666666666667
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.5
86,1,1,3,1,1,0,1.3333333333333333
87,1,1,3,1,1,1,1.1666666666666667
88,1,1,4,0,0,0,1.0
89,1,1,4,0,0,1,1.0
90,1,1,4,0,1,0,1.0
91,1,1,4,0,1,1,1.0
92,1,1,4,1,0,0,1.1666666666666667
93,1,1,4,1,0,1,1.5
94,1,1,4,1,1,0,1.3333333333333333
95,1,1,4,1,1,1,1.3333333333333333
