,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.6666666666666667
1,0,0,0,0,0,1,1.6666666666666667
2,0,0,0,0,1,0,1.6666666666666667
3,0,0,0,0,1,1,1.8333333333333333
4,0,0,0,1,0,0,2.0
5,0,0,0,1,0,1,2.0
6,0,0,0,1,1,0,1.8333333333333333
7,0,0,0,1,1,1,1.8333333333333333
8,0,1,0,0,0,0,1.3333333333333333
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.1666666666666667
11,0,1,0,0,1,1,1.3333333333333333
12,0,1,0,1,0,0,1.5
13,0,1,0,1,0,1,1.5
14,0,1,0,1,1,0,1.3333333333333333
15,0,1,0,1,1,1,1.6666666666666667
16,1,0,0,0,0,0,2.0
17,1,0,0,0,0,1,2.0
18,1,0,0,0,1,0,2.0
19,1,0,0,0,1,1,2.0
20,1,0,0,1,0,0,1.8333333333333333
21,1,0,0,1,0,1,2.0
22,1,0,0,1,1,0,2.0
23,1,0,0,1,1,1,2.0
24,1,0,1,0,0,0,1.8333333333333333
25,1,0,1,0,0,1,2.0
26,1,0,1,0,1,0,1.5
27,1,0,1,0,1,1,2.0
28,1,0,1,1,0,0,2.0
29,1,0,1,1,0,1,2.0
30,1,0,1,1,1,0,2.0
31,1,0,1,1,1,1,2.0
32,1,0,2,0,0,0,2.0
33,1,0,2,0,0,1,2.0
34,1,0,2,0,1,0,2.0
35,1,0,2,0,1,1,1.8333333333333333
36,1,0,2,1,0,0,2.0
37,1,0,2,1,0,1,2.0
38,1,0,2,1,1,0,2.0
39,1,0,2,1,1,1,2.0
40,1,0,3,0,0,0,1.5
41,1,0,3,0,0,1,1.8333333333333333
42,1,0,3,0,1,0,1.3333333333333333
43,1,0,3,0,1,1,2.0
44,1,0,3,1,0,0,2.0
45,1,0,3,1,0,1,2.0
46,1,0,3,1,1,0,1.8333333333333333
47,1,0,3,1,1,1,2.0
48,1,0,4,0,0,0,1.8333333333333333
49,1,0,4,0,0,1,1.8333333333333333
50,1,0,4,0,1,0,1.3333333333333333
51,1,0,4,0,1,1,1.8333333333333333
52,1,0,4,1,0,0,2.0
53,1,0,4,1,0,1,2.0
54,1,0,4,1,1,0,1.8333333333333333
55,1,0,4,1,1,1,2.0
56,1,1,0,0,0,0,1.5
57,1,1,0,0,0,1,1.6666666666666667
58,1,1,0,0,1,0,1.3333333333333333
59,1,1,0,0,1,1,1.6666666666666667
60,1,1,0,1,0,0,1.5
61,1,1,0,1,0,1,1.8333333333333333
62,1,1,0,1,1,0,1.3333333333333333
63,1,1,0,1,1,1,1.8333333333333333
64,1,1,1,0,0,0,1.3333333333333333
65,1,1,1,0,0,1,1.8333333333333333
66,1,1,1,0,1,0,1.1666666666666667
67,1,1,1,0,1,1,1.6666666666666667
68,1,1,1,1,0,0,1.3333333333333333
69,1,1,1,1,0,1,1.6666666666666667
70,1,1,1,1,1,0,1.3333333333333333
71,1,1,1,1,1,1,1.8333333333333333
72,1,1,2,0,0,0,1.3333333333333333
73,1,1,2,0,0,1,1.6666666666666667
74,1,1,2,0,1,0,1.1666666666666667
75,1,1,2,0,1,1,1.5
76,1,1,2,1,0,0,1.5
77,1,1,2,1,0,1,1.8333333333333333
78,1,1,2,1,1,0,1.3333333333333333
79,1,1,2,1,1,1,1.8333333333333333
80,1,1,3,0,0,0,1.3333333333333333
81,1,1,3,0,0,1,1.3333333333333333
82,1,1,3,0,1,0,1.0
83,1,1,3,0,1,1,1.3333333333333333
84,1,1,3,1,0,0,1.5
85,1,1,3,1,0,1,1.5
86,1,1,3,1,1,0,1.1666666666666667
87,1,1,3,1,1,1,1.5
88,1,1,4,0,0,0,1.5
89,1,1,4,0,0,1,1.5
90,1,1,4,0,1,0,1.1666666666666667
91,1,1,4,0,1,1,1.5
92,1,1,4,1,0,0,1.3333333333333333
93,1,1,4,1,0,1,1.5
94,1,1,4,1,1,0,1.1666666666666667
95,1,1,4,1,1,1,1.5
