,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.5
1,0,0,0,0,0,1,1.5
2,0,0,0,0,1,0,1.5
3,0,0,0,0,1,1,1.6666666666666667
4,0,0,0,1,0,0,1.1666666666666667
5,0,0,0,1,0,1,1.1666666666666667
6,0,0,0,1,1,0,1.1666666666666667
7,0,0,0,1,1,1,1.1666666666666667
8,0,1,0,0,0,0,1.1666666666666667
9,0,1,0,0,0,1,1.1666666666666667
10,0,1,0,0,1,0,1.1666666666666667
11,0,1,0,0,1,1,1.1666666666666667
12,0,1,0,1,0,0,1.1666666666666667
13,0,1,0,1,0,1,1.1666666666666667
14,0,1,0,1,1,0,1.1666666666666667
15,0,1,0,1,1,1,1.1666666666666667
16,1,0,0,0,0,0,1.6666666666666667
17,1,0,0,0,0,1,1.6666666666666667
18,1,0,0,0,1,0,2.3333333333333335
19,1,0,0,0,1,1,2.1666666666666665
20,1,0,0,1,0,0,1.3333333333333333
21,1,0,0,1,0,1,1.1666666666666667
22,1,0,0,1,1,0,1.5
23,1,0,0,1,1,1,1.3333333333333333
24,1,0,1,0,0,0,1.3333333333333333
25,1,0,1,0,0,1,1.5
26,1,0,1,0,1,0,1.5
27,1,0,1,0,1,1,1.6666666666666667
28,1,0,1,1,0,0,1.3333333333333333
29,1,0,1,1,0,1,1.3333333333333333
30,1,0,1,1,1,0,1.3333333333333333
31,1,0,1,1,1,1,1.3333333333333333
32,1,0,2,0,0,0,1.6666666666666667
33,1,0,2,0,0,1,1.6666666666666667
34,1,0,2,0,1,0,1.5
35,1,0,2,0,1,1,1.5
36,1,0,2,1,0,0,1.3333333333333333
37,1,0,2,1,0,1,1.3333333333333333
38,1,0,2,1,1,0,1.3333333333333333
39,1,0,2,1,1,1,1.3333333333333333
40,1,0,3,0,0,0,1.1666666666666667
41,1,0,3,0,0,1,1.3333333333333333
42,1,0,3,0,1,0,1.5
43,1,0,3,0,1,1,1.5
44,1,0,3,1,0,0,1.1666666666666667
45,1,0,3,1,0,1,1.1666666666666667
46,1,0,3,1,1,0,1.1666666666666667
47,1,0,3,1,1,1,1.1666666666666667
48,1,0,4,0,0,0,1.3333333333333333
49,1,0,4,0,0,1,1.3333333333333333
50,1,0,4,0,1,0,1.5
51,1,0,4,0,1,1,1.3333333333333333
52,1,0,4,1,0,0,1.1666666666666667
53,1,0,4,1,0,1,1.1666666666666667
54,1,0,4,1,1,0,1.1666666666666667
55,1,0,4,1,1,1,1.1666666666666667
56,1,1,0,0,0,0,1.1666666666666667
57,1,1,0,0,0,1,1.1666666666666667
58,1,1,0,0,1,0,1.1666666666666667
59,1,1,0,0,1,1,1.1666666666666667
60,1,1,0,1,0,0,1.0
61,1,1,0,1,0,1,1.0
62,1,1,0,1,1,0,1.0
63,1,1,0,1,1,1,1.0
64,1,1,1,0,0,0,1.1666666666666667
65,1,1,1,0,0,1,1.1666666666666667
66,1,1,1,0,1,0,1.1666666666666667
67,1,1,1,0,1,1,1.1666666666666667
68,1,1,1,1,0,0,1.1666666666666667
69,1,1,1,1,0,1,1.1666666666666667
70,1,1,1,1,1,0,1.1666666666666667
71,1,1,1,1,1,1,1.1666666666666667
72,1,1,2,0,0,0,1.1666666666666667
73,1,1,2,0,0,1,1.1666666666666667
74,1,1,2,0,1,0,1.1666666666666667
75,1,1,2,0,1,1,1.1666666666666667
76,1,1,2,1,0,0,1.1666666666666667
77,1,1,2,1,0,1,1.1666666666666667
78,1,1,2,1,1,0,1.1666666666666667
79,1,1,2,1,1,1,1.1666666666666667
80,1,1,3,0,0,0,1.1666666666666667
81,1,1,3,0,0,1,1.1666666666666667
82,1,1,3,0,1,0,1.1666666666666667
83,1,1,3,0,1,1,1.1666666666666667
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.1666666666666667
86,1,1,3,1,1,0,1.1666666666666667
87,1,1,3,1,1,1,1.1666666666666667
88,1,1,4,0,0,0,1.1666666666666667
89,1,1,4,0,0,1,1.1666666666666667
90,1,1,4,0,1,0,1.1666666666666667
91,1,1,4,0,1,1,1.1666666666666667
92,1,1,4,1,0,0,1.1666666666666667
93,1,1,4,1,0,1,1.1666666666666667
94,1,1,4,1,1,0,1.1666666666666667
95,1,1,4,1,1,1,1.1666666666666667
