,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,2.0
1,0,0,0,0,0,1,2.0
2,0,0,0,0,1,0,2.0
3,0,0,0,0,1,1,2.0
4,0,0,0,1,0,0,1.3333333333333333
5,0,0,0,1,0,1,1.3333333333333333
6,0,0,0,1,1,0,1.5
7,0,0,0,1,1,1,1.5
8,0,1,0,0,0,0,1.3333333333333333
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.3333333333333333
11,0,1,0,0,1,1,1.3333333333333333
12,0,1,0,1,0,0,1.3333333333333333
13,0,1,0,1,0,1,1.3333333333333333
14,0,1,0,1,1,0,1.3333333333333333
15,0,1,0,1,1,1,1.3333333333333333
16,1,0,0,0,0,0,2.0
17,1,0,0,0,0,1,2.0
18,1,0,0,0,1,0,2.0
19,1,0,0,0,1,1,2.0
20,1,0,0,1,0,0,2.0
21,1,0,0,1,0,1,2.0
22,1,0,0,1,1,0,2.0
23,1,0,0,1,1,1,2.0
24,1,0,1,0,0,0,2.0
25,1,0,1,0,0,1,2.0
26,1,0,1,0,1,0,2.0
27,1,0,1,0,1,1,2.0
28,1,0,1,1,0,0,1.5
29,1,0,1,1,0,1,1.5
30,1,0,1,1,1,0,2.0
31,1,0,1,1,1,1,2.0
32,1,0,2,0,0,0,2.0
33,1,0,2,0,0,1,2.0
34,1,0,2,0,1,0,2.0
35,1,0,2,0,1,1,2.0
36,1,0,2,1,0,0,2.0
37,1,0,2,1,0,1,2.0
38,1,0,2,1,1,0,2.0
39,1,0,2,1,1,1,2.0
40,1,0,3,0,0,0,1.3333333333333333
41,1,0,3,0,0,1,1.3333333333333333
42,1,0,3,0,1,0,2.0
43,1,0,3,0,1,1,2.0
44,1,0,3,1,0,0,1.3333333333333333
45,1,0,3,1,0,1,1.5
46,1,0,3,1,1,0,1.5
47,1,0,3,1,1,1,1.5
48,1,0,4,0,0,0,1.3333333333333333
49,1,0,4,0,0,1,1.3333333333333333
50,1,0,4,0,1,0,1.6666666666666667
51,1,0,4,0,1,1,2.0
52,1,0,4,1,0,0,1.3333333333333333
53,1,0,4,1,0,1,1.5
54,1,0,4,1,1,0,1.5
55,1,0,4,1,1,1,1.5
56,1,1,0,0,0,0,1.5
57,1,1,0,0,0,1,2.0
58,1,1,0,0,1,0,1.6666666666666667
59,1,1,0,0,1,1,2.0
60,1,1,0,1,0,0,1.3333333333333333
61,1,1,0,1,0,1,1.3333333333333333
62,1,1,0,1,1,0,1.3333333333333333
63,1,1,0,1,1,1,1.5
64,1,1,1,0,0,0,1.3333333333333333
65,1,1,1,0,0,1,1.3333333333333333
66,1,1,1,0,1,0,1.3333333333333333
67,1,1,1,0,1,1,1.3333333333333333
68,1,1,1,1,0,0,1.3333333333333333
69,1,1,1,1,0,1,1.3333333333333333
70,1,1,1,1,1,0,1.3333333333333333
71,1,1,1,1,1,1,1.3333333333333333
72,1,1,2,0,0,0,1.3333333333333333
73,1,1,2,0,0,1,1.3333333333333333
74,1,1,2,0,1,0,1.3333333333333333
75,1,1,2,0,1,1,1.6666666666666667
76,1,1,2,1,0,0,1.3333333333333333
77,1,1,2,1,0,1,1.3333333333333333
78,1,1,2,1,1,0,1.3333333333333333
79,1,1,2,1,1,1,1.3333333333333333
80,1,1,3,0,0,0,1.3333333333333333
81,1,1,3,0,0,1,1.3333333333333333
82,1,1,3,0,1,0,1.3333333333333333
83,1,1,3,0,1,1,1.3333333333333333
84,1,1,3,1,0,0,1.3333333333333333
85,1,1,3,1,0,1,1.3333333333333333
86,1,1,3,1,1,0,1.5
87,1,1,3,1,1,1,1.3333333333333333
88,1,1,4,0,0,0,1.3333333333333333
89,1,1,4,0,0,1,1.3333333333333333
90,1,1,4,0,1,0,1.3333333333333333
91,1,1,4,0,1,1,1.3333333333333333
92,1,1,4,1,0,0,1.3333333333333333
93,1,1,4,1,0,1,1.5
94,1,1,4,1,1,0,1.5
95,1,1,4,1,1,1,1.3333333333333333
